Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,No,Travel_Rarely,164,Sales,6,4,Life Sciences,1,4,Female,49,3,3,Sales Executive,1,Married,12228,12447,7,No,14,3,4,3,40,2,3,17,7,7,7
50,Yes,Non-Travel,329,Sales,26,3,Life Sciences,2,2,Male,31,3,2,Sales Executive,3,Divorced,9523,23645,2,No,20,3,3,0,28,6,2,12,8,2,6
36,No,Travel_Rarely,1363,Research & Development,2,5,Life Sciences,3,4,Female,77,3,1,Research Scientist,3,Married,4752,16263,3,No,11,3,2,0,16,6,2,13,6,0,5
29,No,Travel_Rarely,1038,Sales,16,5,Medical,4,1,Female,84,3,3,Manufacturing Director,2,Divorced,9288,15797,9,No,25,3,3,0,7,2,1,7,7,4,5
42,No,Travel_Frequently,1085,Sales,9,3,Marketing,5,4,Female,43,3,4,Research Director,1,Single,14248,4741,4,Yes,13,3,2,1,17,3,3,15,2,3,10
60,No,Travel_Rarely,601,Research & Development,19,4,Human Resources,6,4,Male,54,3,2,Research Scientist,4,Married,10260,13265,4,No,12,3,4,0,40,1,4,19,2,4,5
40,No,Travel_Rarely,321,Research & Development,4,1,Medical,7,1,Male,80,3,1,Laboratory Technician,3,Single,5075,14527,4,No,22,3,1,3,21,4,1,0,0,6,0
44,No,Travel_Rarely,117,Research & Development,5,1,Medical,8,4,Female,36,4,1,Laboratory Technician,2,Married,4440,5727,1,No,14,3,1,0,25,2,3,7,0,7,1
32,No,Travel_Frequently,676,Research & Development,6,1,Medical,9,4,Male,72,4,4,Research Scientist,3,Married,12682,17487,6,No,15,3,4,0,11,2,3,11,1,5,3
32,No,Travel_Rarely,606,Research & Development,2,4,Medical,10,4,Male,36,4,3,Manufacturing Director,1,Divorced,8637,15616,8,Yes,14,3,4,0,12,3,2,12,11,8,12
45,No,Travel_Rarely,1365,Research & Development,11,1,Medical,11,3,Female,48,3,1,Sales Executive,3,Divorced,4932,6006,3,No,18,3,2,1,24,4,3,12,3,1,5
57,No,Non-Travel,287,Research & Development,7,1,Medical,12,4,Male,54,2,1,Sales Executive,2,Single,6209,14218,3,No,15,3,4,1,33,3,3,3,3,1,3
45,No,Travel_Rarely,516,Research & Development,13,2,Medical,13,3,Female,64,2,2,Sales Executive,4,Divorced,9197,25518,1,No,14,3,4,0,23,4,3,16,4,0,3
24,No,Travel_Rarely,1380,Research & Development,3,2,Life Sciences,14,1,Female,94,4,2,Laboratory Technician,1,Single,7085,23284,2,No,11,4,4,2,3,2,2,3,3,4,3
43,No,Travel_Frequently,616,Research & Development,27,3,Medical,15,1,Male,79,2,3,Research Scientist,1,Married,10678,18390,2,No,25,3,2,2,21,2,3,11,5,9,11
23,No,Travel_Rarely,1275,Sales,17,1,Life Sciences,16,2,Female,69,4,4,Laboratory Technician,4,Single,13117,19136,5,Yes,18,3,1,3,5,5,2,4,4,8,0
45,No,Travel_Rarely,787,Sales,26,3,Life Sciences,17,4,Female,31,2,1,Research Scientist,4,Divorced,5188,12568,8,No,13,3,1,0,26,2,4,4,3,1,3
51,No,Non-Travel,1306,Research & Development,21,2,Life Sciences,18,1,Male,67,3,1,Manager,3,Divorced,6978,5019,1,No,13,3,4,0,29,3,1,11,9,9,4
59,Yes,Non-Travel,888,Research & Development,6,2,Medical,19,3,Male,35,3,2,Sales Executive,1,Single,9657,18848,3,Yes,17,3,4,1,40,5,1,15,6,4,4
23,Yes,Travel_Rarely,994,Research & Development,11,4,Life Sciences,20,1,Female,86,3,2,Research Scientist,1,Single,7329,2352,7,Yes,18,4,3,0,4,4,2,4,2,9,4
42,No,Travel_Rarely,478,Sales,28,5,Life Sciences,21,3,Male,45,3,1,Research Director,2,Married,3751,9376,5,Yes,17,3,2,1,23,0,1,4,4,4,4
54,No,Travel_Rarely,579,Human Resources,18,3,Life Sciences,22,3,Male,42,3,3,Research Scientist,4,Single,12949,15921,3,No,13,3,4,0,36,4,4,20,6,1,12
33,No,Travel_Rarely,357,Research & Development,6,3,Life Sciences,23,2,Male,93,3,4,Manager,1,Single,13305,17672,1,No,18,4,3,1,10,2,4,2,2,7,2
43,No,Travel_Rarely,1249,Research & Development,2,5,Other,24,2,Male,60,2,1,Sales Executive,4,Divorced,6018,7075,6,No,15,3,2,2,18,3,3,13,11,3,2
46,No,Travel_Rarely,687,Sales,28,3,Marketing,25,4,Male,66,3,3,Laboratory Technician,2,Married,12475,13306,3,Yes,20,3,3,1,24,2,2,18,4,4,11
48,No,Travel_Frequently,361,Sales,20,4,Marketing,26,4,Female,99,4,2,Sales Executive,2,Divorced,8553,21922,7,No,12,3,2,0,25,5,2,14,5,2,2
49,No,Travel_Rarely,513,Sales,11,3,Medical,27,1,Female,40,3,1,Research Scientist,4,Single,3845,14492,9,No,12,3,1,0,24,2,1,8,6,7,8
37,No,Travel_Rarely,488,Research & Development,9,2,Human Resources,28,4,Male,75,4,2,Research Director,3,Married,7655,19819,5,No,11,3,3,0,15,3,2,11,6,6,7
36,No,Travel_Frequently,709,Research & Development,20,3,Marketing,29,1,Male,79,1,2,Manufacturing Director,1,Divorced,7907,5294,8,No,11,3,1,0,15,4,3,9,8,3,3
24,No,Non-Travel,820,Research & Development,3,3,Life Sciences,30,2,Female,88,3,2,Sales Executive,4,Married,6661,3148,6,No,15,3,4,1,2,2,3,2,2,0,2
58,No,Travel_Rarely,370,Research & Development,2,3,Medical,31,3,Male,60,4,1,Manager,2,Single,6765,15296,8,No,21,3,4,0,33,3,2,11,9,4,7
28,No,Travel_Rarely,134,Research & Development,29,2,Medical,32,4,Female,32,1,3,Manufacturing Director,3,Married,9288,7049,3,No,12,4,3,0,3,2,3,3,0,5,3
42,No,Travel_Rarely,1471,Sales,1,4,Medical,33,1,Female,33,3,2,Research Director,2,Married,8513,7021,0,No,23,3,2,0,18,4,3,3,3,9,3
30,No,Travel_Rarely,969,Research & Development,4,2,Marketing,34,3,Female,49,3,3,Research Scientist,2,Divorced,9503,4940,4,No,21,3,3,0,11,1,3,11,5,4,8
60,No,Travel_Rarely,1316,Research & Development,19,3,Medical,35,3,Male,50,3,4,Sales Executive,1,Married,14725,21548,5,No,19,4,3,0,35,0,1,12,6,3,1
39,Yes,Travel_Rarely,976,Human Resources,22,3,Marketing,36,1,Male,74,2,2,Manufacturing Director,3,Single,8582,19897,0,No,19,3,3,0,17,3,4,6,6,5,6
25,Yes,Travel_Rarely,237,Research & Development,8,3,Life Sciences,37,4,Male,32,4,4,Research Director,2,Married,12719,22380,8,Yes,16,3,4,0,0,5,4,0,0,1,0
46,No,Travel_Frequently,823,Sales,26,2,Human Resources,38,3,Male,85,2,3,Healthcare Representative,4,Divorced,10192,13697,2,No,24,3,3,2,26,3,2,18,7,5,4
35,No,Travel_Rarely,818,Research & Development,15,3,Life Sciences,39,1,Male,60,3,2,Research Scientist,3,Divorced,7658,24689,4,No,12,3,4,1,15,2,3,7,7,2,4
30,No,Travel_Rarely,1036,Research & Development,8,2,Other,40,1,Female,83,2,2,Laboratory Technician,2,Married,6642,17332,5,Yes,25,4,4,0,10,5,3,8,5,6,1
47,No,Travel_Rarely,294,Research & Development,12,3,Medical,41,1,Female,60,3,2,Research Scientist,3,Single,7183,17902,4,No,20,3,3,0,29,3,2,18,7,1,6
23,No,Travel_Rarely,679,Research & Development,25,3,Medical,42,2,Female,74,3,4,Research Director,4,Married,12366,22531,9,Yes,12,3,3,1,0,2,3,0,0,5,0
41,No,Travel_Rarely,326,Research & Development,27,5,Life Sciences,43,4,Female,96,4,2,Manager,4,Married,7773,17238,7,No,19,3,4,2,20,2,1,10,0,3,10
49,No,Travel_Rarely,1242,Research & Development,28,5,Life Sciences,44,2,Male,63,3,1,Research Scientist,3,Divorced,6011,16776,3,Yes,20,3,3,0,25,2,1,12,6,2,12
28,No,Travel_Rarely,607,Sales,13,4,Marketing,45,2,Female,71,4,1,Research Scientist,1,Divorced,4867,18949,1,Yes,14,3,3,1,3,2,2,3,3,1,3
29,No,Travel_Frequently,954,Research & Development,16,5,Life Sciences,46,1,Male,55,3,4,Healthcare Representative,3,Divorced,12117,24152,9,No,21,3,2,2,11,3,2,11,9,9,11
56,No,Travel_Rarely,783,Research & Development,22,1,Life Sciences,47,4,Male,67,3,1,Laboratory Technician,3,Divorced,6062,18443,1,No,19,3,2,1,34,6,4,11,10,4,3
35,No,Travel_Rarely,982,Sales,17,5,Life Sciences,48,3,Male,59,3,3,Manufacturing Director,2,Single,11870,18355,0,No,12,3,4,2,17,3,4,0,0,7,0
38,No,Travel_Rarely,358,Sales,6,1,Medical,49,1,Female,37,1,4,Sales Executive,4,Married,12918,21199,9,No,11,3,4,1,15,4,3,10,10,4,8
57,No,Travel_Rarely,644,Research & Development,23,3,Life Sciences,50,2,Female,62,1,2,Manager,4,Divorced,9078,4395,9,No,11,4,1,0,34,2,4,1,1,9,1
25,Yes,Travel_Rarely,743,Research & Development,24,2,Medical,51,4,Male,79,1,4,Laboratory Technician,1,Divorced,13479,18710,6,No,19,4,4,1,4,2,3,4,4,1,4
23,No,Travel_Rarely,990,Sales,25,5,Other,52,1,Male,69,3,1,Manager,1,Divorced,5304,3661,8,Yes,18,3,2,0,0,2,4,0,0,0,0
27,No,Travel_Frequently,625,Research & Development,27,3,Technical Degree,53,3,Male,89,2,5,Healthcare Representative,2,Married,15789,15270,0,No,13,3,4,1,6,0,3,6,6,7,6
25,No,Travel_Rarely,360,Research & Development,12,3,Technical Degree,54,2,Male,39,4,2,Laboratory Technician,4,Single,5637,5087,8,No,18,3,4,1,7,2,3,7,1,8,1
50,No,Travel_Rarely,284,Human Resources,7,5,Medical,55,3,Male,37,1,4,Manufacturing Director,3,Single,14730,2450,1,No,23,3,3,1,29,2,1,8,6,7,2
39,No,Travel_Rarely,1281,Sales,8,3,Life Sciences,56,4,Female,81,4,2,Sales Executive,3,Single,8029,5164,8,No,22,3,4,0,16,4,4,4,1,5,0
47,Yes,Travel_Rarely,122,Research & Development,8,3,Life Sciences,57,3,Female,46,3,2,Laboratory Technician,2,Single,8408,11254,1,No,22,3,4,0,22,4,1,10,2,3,2
55,No,Travel_Rarely,1102,Research & Development,3,1,Life Sciences,58,2,Male,58,4,1,Laboratory Technician,3,Married,5779,5433,9,Yes,17,3,4,1,33,4,2,20,4,7,2
31,No,Travel_Rarely,1481,Research & Development,27,4,Life Sciences,59,1,Female,63,4,3,Laboratory Technician,4,Divorced,9617,14117,6,No,17,3,4,0,6,3,4,6,6,6,2
57,No,Travel_Frequently,674,Research & Development,2,5,Medical,60,4,Male,41,3,1,Sales Executive,4,Single,5794,6996,4,No,12,3,4,2,32,4,3,3,3,0,1
35,No,Travel_Rarely,1026,Sales,25,5,Technical Degree,61,4,Female,49,3,1,Laboratory Technician,4,Divorced,4173,6394,5,Yes,13,3,4,1,14,1,2,5,5,1,5
52,No,Travel_Frequently,405,Research & Development,22,2,Marketing,62,3,Male,49,4,1,Healthcare Representative,4,Divorced,6057,18211,8,No,17,3,1,1,30,4,4,9,0,6,9
36,No,Travel_Rarely,700,Research & Development,20,2,Other,63,2,Female,38,3,3,Research Scientist,2,Single,11221,10457,2,Yes,16,3,4,0,18,3,3,18,1,0,4
29,No,Travel_Frequently,857,Research & Development,21,3,Life Sciences,64,3,Female,92,3,3,Manager,4,Divorced,10318,4693,7,Yes,16,3,2,0,7,2,1,7,7,6,5
35,No,Travel_Rarely,439,Research & Development,28,3,Medical,65,4,Female,93,3,2,Laboratory Technician,4,Divorced,6539,25821,1,Yes,17,4,1,1,14,2,2,13,4,7,6
44,No,Non-Travel,370,Research & Development,9,2,Marketing,66,4,Male,54,4,2,Healthcare Representative,3,Single,8533,25657,6,No,14,4,3,0,23,2,3,3,3,8,3
42,No,Travel_Rarely,447,Research & Development,16,3,Medical,67,4,Female,36,2,5,Sales Representative,1,Married,15962,18011,2,Yes,13,4,1,2,18,3,2,9,6,1,5
37,No,Travel_Frequently,992,Research & Development,28,4,Life Sciences,68,4,Male,55,3,5,Laboratory Technician,4,Divorced,14320,12302,4,Yes,17,3,3,2,15,4,3,15,10,1,9
39,No,Travel_Rarely,1138,Sales,17,5,Marketing,69,3,Male,51,3,2,Manager,2,Single,8136,16617,3,Yes,19,3,4,1,20,4,4,7,0,9,7
45,No,Travel_Rarely,315,Sales,17,1,Medical,70,1,Male,77,3,2,Sales Executive,3,Married,7874,19478,1,Yes,14,3,4,0,22,1,4,14,1,0,10
47,No,Travel_Frequently,836,Research & Development,28,2,Technical Degree,71,1,Female,89,4,3,Healthcare Representative,1,Single,10966,11129,1,Yes,19,3,2,2,29,1,4,18,8,7,0
46,No,Travel_Frequently,759,Sales,8,2,Life Sciences,72,1,Female,69,2,1,Manager,2,Married,5524,13919,0,No,23,3,3,0,25,2,3,1,1,3,1
50,No,Travel_Rarely,615,Human Resources,29,3,Technical Degree,73,4,Male,75,2,3,Sales Representative,3,Married,10782,20843,4,Yes,14,3,4,1,31,3,2,17,10,8,12
36,No,Travel_Rarely,362,Research & Development,2,3,Life Sciences,74,2,Male,31,4,3,Sales Executive,2,Married,11408,20381,5,No,24,3,4,0,13,3,3,10,1,4,9
22,No,Non-Travel,129,Human Resources,7,3,Life Sciences,75,2,Female,32,3,2,Sales Executive,4,Divorced,5712,24177,7,Yes,19,3,4,1,2,3,4,2,2,5,2
46,No,Travel_Rarely,786,Research & Development,26,5,Medical,76,4,Male,63,2,2,Sales Executive,4,Married,7408,22878,3,No,15,3,2,0,24,1,1,18,4,5,2
28,Yes,Travel_Frequently,1214,Human Resources,4,3,Medical,77,2,Male,89,3,3,Laboratory Technician,1,Single,10303,26357,9,No,24,3,2,3,3,2,1,3,3,1,3
30,No,Travel_Rarely,786,Sales,21,3,Medical,78,4,Male,98,4,1,Sales Executive,3,Single,5140,6811,3,No,13,3,4,0,12,4,2,12,7,2,9
45,No,Travel_Rarely,343,Research & Development,11,4,Technical Degree,79,3,Female,55,3,4,Laboratory Technician,3,Single,13153,5483,2,No,25,3,1,0,27,5,1,8,0,0,8
22,No,Travel_Frequently,866,Research & Development,13,4,Marketing,80,2,Male,63,4,4,Sales Representative,2,Single,12079,18697,8,No,23,3,4,3,0,2,3,0,0,0,0
29,No,Travel_Rarely,1125,Sales,25,3,Life Sciences,81,3,Female,57,2,2,Research Scientist,3,Married,7287,18653,0,Yes,20,3,4,0,4,4,2,4,4,2,2
45,No,Travel_Rarely,850,Research & Development,8,4,Medical,82,4,Male,63,4,1,Sales Executive,3,Married,5669,21416,5,No,21,4,1,1,25,5,4,5,5,3,0
32,Yes,Travel_Frequently,197,Research & Development,26,3,Medical,83,2,Male,93,3,2,Sales Representative,2,Married,8070,11739,0,No,24,3,4,1,14,3,4,4,4,7,4
38,No,Travel_Rarely,253,Research & Development,21,4,Life Sciences,84,3,Male,65,3,2,Manufacturing Director,1,Married,7202,2779,2,No,25,3,3,0,15,2,2,15,9,1,12
29,No,Travel_Rarely,634,Research & Development,1,2,Marketing,85,2,Male,92,2,4,Sales Executive,4,Divorced,13317,24632,2,Yes,22,4,1,1,6,2,2,6,5,0,4
56,No,Travel_Rarely,945,Research & Development,19,2,Life Sciences,86,2,Male,76,4,1,Healthcare Representative,3,Married,6438,10871,5,Yes,13,3,4,0,33,0,2,5,5,3,0
56,No,Travel_Rarely,133,Research & Development,5,4,Human Resources,87,2,Male,64,2,2,Manufacturing Director,2,Divorced,8722,6852,5,No,24,4,2,1,38,2,4,9,0,3,3
